"Number","Name","Type1","Type2","Total","HP","Attack","Defense","SpecialAtk","SpecialDef","Speed","Generation","Legendary"
722,"Rowlet","Grass","Flying",320,68,55,55,50,50,42,7,FALSE
723,"Dartrix","Grass","Flying",420,78,75,75,70,70,52,7,FALSE
724,"Decidueye","Grass","Ghost",530,78,107,75,100,100,70,7,FALSE
725,"Litten","Fire",NA,320,45,65,40,60,40,70,7,FALSE
726,"Torracat","Fire",NA,420,65,85,50,80,50,90,7,FALSE
727,"Inceroar","Fire",NA,530,95,115,90,80,90,60,7,FALSE
728,"Popolio","Water",NA,320,50,54,54,66,56,40,7,FALSE
729,"Brionne","Water",NA,420,60,69,69,91,81,50,7,FALSE
730,"Primarina","Water",NA,530,80,74,74,126,116,60,7,FALSE
731,"Pikipek","Normal","Flying",265,35,75,30,30,30,65,7,FALSE
732,"Trumbeak","Normal","Flying",355,55,85,50,40,50,75,7,FALSE
733,"Toucannon","Normal","Flying",485,80,120,75,75,75,60,7,FALSE
734,"Yungoos","Normal",NA,253,48,70,30,30,30,45,7,FALSE
735,"Gumshoos","Normal",NA,418,88,110,60,55,60,45,7,FALSE
736,"Grubbin","Bug",NA,300,47,62,45,55,45,46,7,FALSE
737,"Charjabug","Bug","Electric",400,57,82,95,55,75,36,7,FALSE
738,"Vikavolt","Bug","Electric",500,77,70,90,145,75,43,7,FALSE
739,"Crabrawler","Fighting",NA,338,47,82,57,42,47,63,7,FALSE
740,"Crabominable","Fighting","Ice",478,97,132,77,62,67,43,7,FALSE
741,"OricorioBaile Style","Fire","Flying",476,75,70,70,98,70,93,7,FALSE
741,"OricorioPom-Pom Style","Electric","Flying",476,75,70,70,98,70,93,7,FALSE
741,"OricorioPa'u Style","Psychic","Flying",476,75,70,70,98,70,93,7,FALSE
742,"Cutiefly","Bug","Fairy",304,40,45,40,55,40,84,7,FALSE
743,"Riombee","Bug","Fairy",464,60,55,60,95,70,124,7,FALSE
