Number,Name,Type1,Type2,Total,HP,Attack,Defense,SpecialAtk,SpecialDef,Speed,Checksum,Generation,Legendary
810,Grookey,Grass,,310,50,65,50,40,40,65,0,8,FALSE
811,Thwackey,Grass,,420,70,85,70,55,60,80,0,8,FALSE
812,Rillaboom,Grass,,530,100,125,90,60,70,85,0,8,FALSE
813,Scorbunny,Fire,,310,50,71,40,40,40,69,0,8,FALSE
814,Raboot,Fire,,420,65,86,60,55,60,94,0,8,FALSE
815,Cinderace,Fire,,530,80,116,75,65,75,119,0,8,FALSE
816,Sobble,Water,,310,50,40,40,70,40,70,0,8,FALSE
817,Drizzile,Water,,420,65,60,55,95,55,90,0,8,FALSE
818,Inteleon,Water,,530,70,85,65,125,65,120,0,8,FALSE
819,Skwovet,Normal,,275,70,55,55,35,35,25,0,8,FALSE
820,Greedent,Normal,,460,120,95,95,55,75,20,0,8,FALSE
821,Rookidee,Flying,,245,38,47,35,33,35,57,0,8,FALSE
822,Corvisquire,Flying,,365,68,67,55,43,55,77,0,8,FALSE
823,Corviknight,Flying,Steel,495,98,87,105,53,85,67,0,8,FALSE
824,Blipbug,Bug,,180,25,20,20,25,45,45,0,8,FALSE
825,Dottler,Bug,Psychic,335,50,35,80,50,90,30,0,8,FALSE
826,Orbeetle,Bug,Psychic,505,60,45,110,80,120,90,0,8,FALSE
827,Nickit,Dark,,245,40,28,28,47,52,50,0,8,FALSE
828,Thievul,Dark,,455,70,58,58,87,92,90,0,8,FALSE
829,Gossifleur,Grass,,250,40,40,60,40,60,10,0,8,FALSE
830,Eldegoss,Grass,,460,60,50,90,80,120,60,0,8,FALSE
831,Wooloo,Normal,,270,42,40,55,40,45,48,0,8,FALSE
832,Dubwool,Normal,,490,72,80,100,60,90,88,0,8,FALSE
833,Chewtle,Water,,284,50,64,50,38,38,44,0,8,FALSE
834,Drednaw,Water,Rock,485,90,115,90,48,68,74,0,8,FALSE
835,Yamper,Electric,,270,59,45,50,40,50,26,0,8,FALSE
836,Boltund,Electric,,490,69,90,60,90,60,121,0,8,FALSE
837,Rolycoly,Rock,,240,30,40,50,40,50,30,0,8,FALSE
838,Carkol,Rock,Fire,410,80,60,90,60,70,50,0,8,FALSE
839,Coalossal,Rock,Fire,510,110,80,120,80,90,30,0,8,FALSE
