"ID","Name","Form","Type1","Type2","Total","HP","Attack","Defense","Sp. Atk","Sp. Def","Speed","Generation"
128,"Tauros","Combat Breed","Fighting"," ",490,75,110,105,30,70,100,9
128,"Tauros","Blaze Breed","Fighting","Fire",490,75,110,105,30,70,100,9
128,"Tauros","Aqua Breed","Fighting","Water",490,75,110,105,30,70,100,9
194,"Wooper","Paldean Wooper","Poison","Ground",210,55,45,45,25,25,15,9
906,"Sprigatito"," ","Grass"," ",310,40,61,54,45,45,65,9
907,"Floragato"," ","Grass"," ",410,61,80,63,60,63,83,9
908,"Meowscarada"," ","Grass","Dark",530,76,110,70,81,70,123,9
909,"Fuecoco"," ","Fire"," ",310,67,45,59,63,40,36,9
910,"Crocalor"," ","Fire"," ",411,81,55,78,90,58,49,9
911,"Skeledirge"," ","Fire","Ghost",530,104,75,100,110,75,66,9
912,"Quaxly"," ","Water"," ",310,55,65,45,50,45,50,9
913,"Quaxwell"," ","Water"," ",410,70,85,65,65,60,65,9
914,"Quaquaval"," ","Water","Fighting",530,85,120,80,85,75,85,9
915,"Lechonk"," ","Normal"," ",254,54,45,40,35,45,35,9
916,"Oinkologne","Male","Normal"," ",489,110,100,75,59,80,65,9
916,"Oinkologne","Female","Normal"," ",489,115,90,70,59,90,65,9
917,"Tarountula"," ","Bug"," ",210,35,41,45,29,40,20,9
918,"Spidops"," ","Bug"," ",404,60,79,92,52,86,35,9
919,"Nymble"," ","Bug"," ",210,33,46,40,21,25,45,9
920,"Lokix"," ","Bug","Dark",450,71,102,78,52,55,92,9
921,"Pawmi"," ","Electric"," ",240,45,50,20,40,25,60,9
922,"Pawmo"," ","Electric","Fighting",350,60,75,40,50,40,85,9
923,"Pawmot"," ","Electric","Fighting",490,70,115,70,70,60,105,9
924,"Tandemaus"," ","Normal"," ",305,50,50,45,40,45,75,9
925,"Maushold","Family of Four","Normal"," ",470,74,75,70,65,75,111,9
925,"Maushold","Family of Three","Normal"," ",470,74,75,70,65,75,111,9
926,"Fidough"," ","Fairy"," ",312,37,55,70,30,55,65,9
927,"Dachsbun"," ","Fairy"," ",477,57,80,115,50,80,95,9
928,"Smoliv"," ","Grass","Normal",260,41,35,45,58,51,30,9
929,"Dolliv"," ","Grass","Normal",354,52,53,60,78,78,33,9
930,"Arboliva"," ","Grass","Normal",510,78,69,90,125,109,39,9
931,"Squawkabilly","Green Plumage","Normal","Flying",417,82,96,51,45,51,92,9
931,"Squawkabilly","Blue Plumage","Normal","Flying",417,82,96,51,45,51,92,9
931,"Squawkabilly","Yellow Plumage","Normal","Flying",417,82,96,51,45,51,92,9
931,"Squawkabilly","White Plumage","Normal","Flying",417,82,96,51,45,51,92,9
